subset,gamma
"PK,GFR,Free,Kurine,Kreab",5962491.070383151
"Kbile,GFR,Free,Kurine,Kreab",5933184.954568795
"PRest,GFR,Free,Kurine,Kreab",5861881.862349874
"PL,GFR,Free,Kurine,Kreab",5784269.514622369
"GFR,Free,Km_baso,Kurine,Kreab",5770503.577941047
"GFR,Free,Vmax_baso,Kurine,Kreab",5757302.712538898
"PRest,PK,GFR,Free,Kurine",5722804.797441344
"PK,GFR,Free,Km_baso,Kurine",5618294.351920258
"PK,Kbile,GFR,Free,Kurine",5582577.999763198
"PK,GFR,Free,Vmax_baso,Kurine",5571235.837489826
"PK,PL,GFR,Free,Kurine",5569085.540926376
"PL,Kbile,GFR,Free,Kurine",5485822.976967971
"PRest,PL,GFR,Free,Kurine",5452752.747152419
"PRest,Kbile,GFR,Free,Kurine",5440990.310859873
"PRest,GFR,Free,Vmax_baso,Kurine",5439277.363651697
"PRest,GFR,Free,Km_baso,Kurine",5437221.280732401
"PL,GFR,Free,Km_baso,Kurine",5367427.481034883
"PL,GFR,Free,Vmax_baso,Kurine",5352974.500922424
"Kbile,GFR,Free,Km_baso,Kurine",5340200.985751071
"GFR,Free,Vmax_baso,Km_baso,Kurine",5337049.770540652
"Kbile,GFR,Free,Vmax_baso,Kurine",5335546.040091001
"PRest,PK,GFR,Free,Kreab",2599385.343652349
"PK,PL,GFR,Free,Kreab",2516907.6135886223
"PK,GFR,Free,Vmax_baso,Kreab",2516867.1893343474
"PK,Kbile,GFR,Free,Kreab",2516240.644917181
"PK,GFR,Free,Km_baso,Kreab",2508577.6070525437
"PRest,PL,GFR,Free,Kreab",2474262.667253842
"PL,Kbile,GFR,Free,Kreab",2469778.3647265197
"PRest,Kbile,GFR,Free,Kreab",2452906.384581246
"PRest,GFR,Free,Km_baso,Kreab",2445411.275564624
"PL,GFR,Free,Km_baso,Kreab",2421850.316138841
"PL,GFR,Free,Vmax_baso,Kreab",2420638.842631503
"PRest,GFR,Free,Vmax_baso,Kreab",2418166.8784937225
"Kbile,GFR,Free,Vmax_baso,Kreab",2400205.11572054
"Kbile,GFR,Free,Km_baso,Kreab",2398446.368334442
"GFR,Free,Vmax_baso,Km_baso,Kreab",2386488.48413847
"PRest,PK,Kbile,GFR,Free",483993.16199702345
